event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,temperature_c,soil_water_layer_1,soil_water_layer_2,surface_pressure_hpa
285,2007-09-29 00:00:00,"National Highway, 45 Aizwal (Mizoram)","National Highway, 45 Aizwal (Mizoram)",Mizoram,landslide,rain,medium,unknown,,,92.6921,24.1293,167.26520657539368,358.19800943136215,511.1427288502455,24.193383789062523,0.4217700958251953,0.42040061950683594,968.806015625
313,2007-10-16 00:00:00,"NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland","NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland",Nagaland,landslide,rain,large,unknown,,,94.0132,25.7055,349.3392765522003,824.5458602905273,1745.123740285635,17.177911376953148,0.4748077392578125,0.4717935025691986,858.124921875
319,2007-10-19 00:00:00,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur","Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur",Nagaland,landslide,rain,medium,unknown,,,94.1162,25.4379,237.85212635993958,516.5746510028839,1409.0586155653,17.483575439453148,0.4850667417049408,0.49722352623939514,866.381953125
322,2007-10-21 00:00:00,National Highway 53 at Nungba in Tamenglong district of Manipur,National Highway 53 at Nungba in Tamenglong district of Manipur,Assam,landslide,rain,medium,unknown,,,93.4333,24.75,11.721886694431305,202.96452939510345,703.94666492939,19.493646240234398,0.40192922949790955,0.4071553647518158,940.169140625
545,2008-05-20 00:00:00,"A Cachar District village, near village of Srinager, Assam","A Cachar District village, near village of Srinager, Assam",Assam,mudslide,mining,medium,unknown,5.0,,92.8411,24.9849,217.48779714107513,696.2474584579468,888.0921378731728,25.337426757812523,0.44915708899497986,0.4730968475341797,985.461953125
580,2008-06-09 00:00:00,"near Kuloor church, in Manipur along National Highway","near Kuloor church, in Manipur along National Highway",Manipur,landslide,monsoon,medium,unknown,,,93.9784,24.6596,106.24446719884872,441.35067611932755,764.4854560494423,23.139001464843773,0.48440107703208923,0.4872347414493561,917.301484375
585,2008-06-14 00:00:00,"Itanagar-Naharlagun, Arunachal Pradesh","Itanagar-Naharlagun, Arunachal Pradesh",Arunachal Pradesh,landslide,rain,large,unknown,21.0,,93.6287,27.0998,338.03796768188477,534.149520099163,1044.982474297285,23.222894287109398,0.4733600616455078,0.49232229590415955,939.834765625
587,2008-06-15 00:00:00,"Lakhimpur district, Bihpuria, Assam","Lakhimpur district, Bihpuria, Assam",Assam,landslide,downpour,medium,unknown,17.0,,94.0989,27.2298,33.23225677013397,793.796107172966,1369.256652891636,27.445703125000023,0.3906269073486328,0.3925743103027344,978.021484375
594,2008-06-19 00:00:00,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur","Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",Manipur,mudslide,monsoon,medium,unknown,,,93.8275,24.9336,109.66378450393677,552.5323450565338,849.8273082077503,20.836633300781273,0.47062110900878906,0.4823964536190033,882.165859375
692,2008-08-07 00:00:00,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland","National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",Nagaland,landslide,downpour,medium,unknown,,,94.04,25.705,154.03982996940613,556.3499629497528,1664.1865074634552,20.821771240234398,0.49891790747642517,0.500189483165741,847.3853125
