event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,temperature_c,soil_water_layer_1,soil_water_layer_2,surface_pressure_hpa,rainfall_24h_mm
9169,2016-06-12 00:00:00,"on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India","on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India",Nagaland,landslide,continuous_rain,unknown,above_road,0.0,0.0,94.2442,26.1677,24.856225585937523,0.48512014746665955,0.49085235595703125,943.724140625,157.9696536064148
9168,2016-06-12 23:00:00,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India","NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",Arunachal Pradesh,landslide,downpour,medium,above_road,0.0,0.0,93.871,27.6438,17.414971923828148,0.4244111478328705,0.4252115786075592,796.715390625,216.62962436676025
9142,2016-06-14 08:00:00,"lower Majakong Ward, Mokokchung, Nagaland, India","lower Majakong Ward, Mokokchung, Nagaland, India",Nagaland,landslide,continuous_rain,medium,retaining_wall,0.0,0.0,94.5247,26.3185,23.629693603515648,0.47096315026283264,0.48272833228111267,905.264609375,128.82649898529053
8222,2016-06-22 12:00:00,"Piyali Phukan Nagar, Guwahati, India","Piyali Phukan Nagar, Guwahati, India",Assam,mudslide,downpour,medium,natural_slope,1.0,0.0,91.7825,26.1961,26.885675048828148,0.4744535982608795,0.48822975158691406,993.762265625,185.334250330925
